121,121,121
121,121,121
124,124,124
122,122,122
120,120,120
124,124,124
124,124,124
120,120,120
117,117,117
121,121,121
116,116,116
115,115,115
117,117,117
120,120,120
116,116,116
113,113,113
120,120,120
118,118,118
124,124,124
118,118,118
118,118,118
117,117,117
116,116,116
117,117,117
118,118,118
113,113,113
117,117,117
116,116,116
116,116,116
118,118,118
117,117,117
120,120,120
121,121,121
122,122,122
125,125,125
126,126,126
126,126,126
124,124,124
121,121,121
125,125,125
128,128,128
126,126,126
124,124,124
120,120,120
111,111,111
111,111,111
104,104,104
100,100,100
96,96,96
87,87,87
83,83,83
94,94,94
95,95,95
100,100,100
105,105,105
102,102,102
107,107,107
107,107,107
105,105,105
107,107,107
109,109,109
111,111,111
109,109,109
107,107,107
112,112,112
108,108,108
107,107,107
109,109,109
104,104,104
111,111,111
109,109,109
108,108,108
111,111,111
108,108,108
111,111,111
115,115,115
116,116,116
125,125,125
133,133,133
142,142,142
154,154,154
167,167,167
172,172,172
182,182,182
185,185,185
187,187,187
190,190,190
193,193,193
191,191,191
194,194,194
198,198,198
193,193,193
186,186,186
183,183,183
173,173,173
168,168,168
159,159,159
159,159,159
161,161,161
165,165,165
167,167,167
172,172,172
180,180,180
169,169,169
168,168,168
167,167,167
165,165,165
159,159,159
152,152,152
154,154,154
152,152,152
157,157,157
161,161,161
160,160,160
154,154,154
155,155,155
146,146,146
142,142,142
139,139,139
146,146,146
139,139,139
146,146,146
146,146,146
151,151,151
146,146,146
144,144,144
144,144,144
144,144,144
142,142,142
141,141,141
139,139,139
139,139,139
134,134,134
131,131,131
124,124,124
118,118,118
113,113,113
111,111,111
118,118,118
120,120,120
125,125,125
117,117,117
116,116,116
122,122,122
122,122,122
120,120,120
118,118,118
115,115,115
122,122,122
124,124,124
126,126,126
118,118,118
128,128,128
134,134,134
133,133,133
107,107,107
102,102,102
122,122,122
133,133,133
129,129,129
141,141,141
142,142,142
137,137,137
137,137,137
133,133,133
134,134,134
124,124,124
112,112,112
105,105,105
105,105,105
111,111,111
109,109,109
112,112,112
142,142,142
148,148,148
147,147,147
144,144,144
143,143,143
139,139,139
142,142,142
143,143,143
147,147,147
141,141,141
146,146,146
144,144,144
141,141,141
143,143,143
143,143,143
135,135,135
126,126,126
122,122,122
111,111,111
126,126,126
138,138,138
138,138,138
134,134,134
135,135,135
135,135,135
138,138,138
139,139,139
135,135,135
135,135,135
135,135,135
134,134,134
137,137,137
139,139,139
137,137,137
131,131,131
134,134,134
133,133,133
137,137,137
135,135,135
134,134,134
131,131,131
133,133,133
133,133,133
135,135,135
134,134,134
137,137,137
134,134,134
134,134,134
137,137,137
138,138,138
133,133,133
131,131,131
131,131,131
134,134,134
134,134,134
135,135,135
134,134,134
130,130,130
130,130,130
133,133,133
131,131,131
131,131,131
131,131,131
135,135,135
131,131,131
129,129,129
129,129,129
129,129,129
129,129,129
126,126,126
128,128,128
130,130,130
130,130,130
128,128,128
128,128,128
124,124,124
128,128,128
122,122,122
126,126,126
128,128,128
122,122,122
125,125,125
126,126,126
121,121,121
125,125,125
126,126,126
124,124,124
121,121,121
120,120,120
116,116,116
116,116,116
116,116,116
105,105,105
111,111,111
116,116,116
111,111,111
109,109,109
105,105,105
103,103,103
100,100,100
105,105,105
103,103,103
111,111,111
115,115,115
112,112,112
111,111,111
113,113,113
115,115,115
115,115,115
115,115,115
116,116,116
116,116,116
112,112,112
111,111,111
108,108,108
105,105,105
109,109,109
108,108,108
108,108,108
107,107,107
104,104,104
107,107,107
108,108,108
108,108,108
108,108,108
111,111,111
108,108,108
111,111,111
112,112,112
108,108,108
108,108,108
108,108,108
111,111,111
111,111,111
111,111,111
112,112,112
92,92,92
77,77,77
91,91,91
91,91,91
87,87,87
70,70,70
69,69,69
78,78,78
87,87,87
102,102,102
94,94,94
115,115,115
117,117,117
99,99,99
95,95,95
108,108,108
90,90,90
103,103,103
116,116,116
104,104,104
96,96,96
90,90,90
107,107,107
112,112,112
108,108,108
103,103,103
107,107,107
108,108,108
103,103,103
107,107,107
120,120,120
121,121,121
99,99,99
73,73,73
86,86,86
73,73,73
69,69,69
53,53,53
66,66,66
72,72,72
76,76,76
72,72,72
78,78,78
98,98,98
116,116,116
112,112,112
111,111,111
107,107,107
102,102,102
96,96,96
92,92,92
94,94,94
109,109,109
115,115,115
116,116,116
111,111,111
111,111,111
104,104,104
100,100,100
103,103,103
102,102,102
102,102,102
103,103,103
98,98,98
103,103,103
105,105,105
109,109,109
112,112,112
112,112,112
113,113,113
113,113,113
103,103,103
109,109,109
116,116,116
128,128,128
124,124,124
124,124,124
130,130,130
128,128,128
122,122,122
122,122,122
126,126,126
122,122,122
116,116,116
108,108,108
108,108,108
113,113,113
125,125,125
120,120,120
121,121,121
121,121,121
111,111,111
122,122,122
128,128,128
125,125,125
134,134,134
124,124,124
126,126,126
142,142,142
131,131,131
122,122,122
122,122,122
126,126,126
133,133,133
122,122,122
112,112,112
128,128,128
122,122,122
116,116,116
138,138,138
134,134,134
137,137,137
130,130,130
135,135,135
142,142,142
126,126,126
104,104,104
108,108,108
87,87,87
86,86,86
79,79,79
95,95,95
102,102,102
99,99,99
79,79,79
94,94,94
89,89,89
82,82,82
121,121,121
129,129,129
125,125,125
128,128,128
125,125,125
111,111,111
109,109,109
121,121,121
130,130,130
144,144,144
122,122,122
113,113,113
139,139,139
137,137,137
112,112,112
141,141,141
142,142,142
109,109,109
134,134,134
155,155,155
134,134,134
121,121,121
128,128,128
143,143,143
139,139,139
139,139,139
138,138,138
135,135,135
126,126,126
124,124,124
117,117,117
124,124,124
128,128,128
125,125,125
121,121,121
122,122,122
103,103,103
99,99,99
96,96,96
91,91,91
144,144,144
142,142,142
142,142,142
142,142,142
138,138,138
139,139,139
146,146,146
142,142,142
137,137,137
139,139,139
135,135,135
137,137,137
138,138,138
139,139,139
135,135,135
138,138,138
139,139,139
142,142,142
139,139,139
139,139,139
135,135,135
138,138,138
135,135,135
134,134,134
133,133,133
135,135,135
135,135,135
124,124,124
126,126,126
122,122,122
128,128,128
121,121,121
122,122,122
121,121,121
124,124,124
117,117,117
112,112,112
113,113,113
120,120,120
115,115,115
118,118,118
115,115,115
112,112,112
118,118,118
115,115,115
118,118,118
120,120,120
118,118,118
118,118,118
116,116,116
115,115,115
118,118,118
118,118,118
115,115,115
116,116,116
116,116,116
115,115,115
118,118,118
118,118,118
120,120,120
